Title,Your Rating,Date Rated,Year,Genres,Directors,URL
100 Foot Wave: Force Majeure,1,2024-08-17,2023,"Documentary, Sport",Chris Smith,https://www.imdb.com/title/tt27525853
3 Body Problem: Wallfacer,1,2024-08-17,2024,"Sci-Fi, Adventure, Drama, Fantasy, Mystery",Jeremy Podeswa,https://www.imdb.com/title/tt18347118
30 for 30: Be Water,7,2022-03-23,2020,"Documentary, Sport, Biography, History",Bao Nguyen,https://www.imdb.com/title/tt12510860
30 for 30: Deion's Double Play,6,2022-03-23,2019,"Documentary, Sport, Biography, History","Erik Powers,Ken Rodgers",https://www.imdb.com/title/tt9689138
30 for 30: The Four Falls of Buffalo,8,2022-03-23,2015,"Documentary, Sport, Biography, History",Ken Rodgers,https://www.imdb.com/title/tt5302330
30 for 30: I Hate Christian Laettner,8,2022-03-23,2015,"Documentary, Sport, Biography, History",Rory Karpf,https://www.imdb.com/title/tt4300028
30 for 30: Bad Boys,8,2022-03-23,2014,"Documentary, Sport, Biography, History",Zak Levitt,https://www.imdb.com/title/tt3682160
30 for 30: Big Shot,7,2022-03-23,2013,"Documentary, Sport, Biography, History",Kevin Connolly,https://www.imdb.com/title/tt3311418
30 for 30: Once Brothers,9,2022-03-23,2010,"Documentary, Sport, Biography, History",Michael Tolajian,https://www.imdb.com/title/tt1738398
30 for 30: Little Big Men,6,2022-03-23,2010,"Documentary, Sport, Biography, History",Al Szymanski,https://www.imdb.com/title/tt1717745
"30 for 30: June 17th, 1994",8,2022-03-23,2010,"Documentary, Sport, Biography, History",Brett Morgen,https://www.imdb.com/title/tt1509849
30 for 30: The 16th Man,8,2022-03-23,2010,"Documentary, Sport, Biography, History",Cliff Bestall,https://www.imdb.com/title/tt1617301
30 for 30: Silly Little Game,6,2022-03-23,2010,"Documentary, Sport, Biography, History","Lucas Jansen,Adam Kurland",https://www.imdb.com/title/tt1493940
30 for 30: The U,8,2022-03-23,2009,"Documentary, Sport, Biography, History",Billy Corben,https://www.imdb.com/title/tt1199479
30 for 30: Of Miracles and Men,8,2022-03-24,2015,"Documentary, Sport, Biography, History",Jonathan Hock,https://www.imdb.com/title/tt4340556
30 for 30: This Magic Moment,7,2022-07-08,2016,"Documentary, Sport, Biography, History","Gentry Kirby,Erin Leyden",https://www.imdb.com/title/tt5598194
30 for 30: Slaying the Badger,8,2023-07-08,2014,"Documentary, Sport, Biography, History",John Dower,https://www.imdb.com/title/tt3793686
30 for 30: Lance Part 2,8,2023-08-15,2020,"Documentary, Sport, Biography, History",Marina Zenovich,https://www.imdb.com/title/tt12338078
30 for 30: Lance Part 1,8,2023-08-15,2020,"Documentary, Sport, Biography, History",Marina Zenovich,https://www.imdb.com/title/tt12338076
American Crime Story: The Wilderness,1,2024-08-17,2021,"Biography, Drama, Crime, History",Michael Uppendahl,https://www.imdb.com/title/tt15131760
American Sports Story: Who Killed Aaron Hernandez?,1,2025-01-10,2024,"Biography, Drama, Sport",Michael Uppendahl,https://www.imdb.com/title/tt31494977
Andor: Rix Road,1,2024-08-17,2022,"Sci-Fi, Thriller, Adventure, Fantasy, Drama",Benjamin Caron,https://www.imdb.com/title/tt13848062
Beastars: A Revolutionary Feast,1,2022-12-04,2021,"Animation, Drama, Fantasy, Mystery, Thriller, Crime, Romance",Shin'ichi Matsumi,https://www.imdb.com/title/tt14148074
Black Mirror: White Bear,8,2018-04-08,2013,"Drama, Thriller, Sci-Fi, Mystery, Crime",Carl Tibbetts,https://www.imdb.com/title/tt2542420
